sentence1,sentence2,label
"Apetīte ir visām augstākajām dzīvības formām, un tā kalpo kā pietiekamas enerģijas uzņemšanas regulators, lai uzturētu vielmaiņu.","Izteikts ēstgribas trūkums tiek saukts par anoreksiju, bet slimīgi pastiprināts — par bulīmiju.",1
To pēc hercoga pasūtījuma 1776. - 1785. gadā uzbūvēja galma arhitekts Severīns Jensens.,Kroņvircavas muiža 20. gadsimta sākumā.,1
"Vieglatlēta karjeras laikā viņš uzvarēja 1968. gada vasaras olimpiskajās spēlēs 200 m distancē ar rezultātu 19,83 sekundes, kas bija jauns pasaules rekords.","Pēc tam viņš vienu sezonu aizvadīja Sinsinati ""Bengals"" sastāvā amerikāņu futbola līgā.",1
"Subetniskajai grupai ir pašnosaukums, un tās locekļi izjūt divējādu piederību — etnosam un subetnosam vienlaikus (latgalieši, gorjuni, suiti).","Subetnisko grupu veidojas: kā daļas tautas teritoriālās nošķirtības sekas (tā sauktās etnoteritoriālās grupas); iepriekšējās cilšu dalīšanās vai nepilnīgas asimilācijas rezultātā; īpaša sociālā statusa dēļ (etnosociālās grupas, piemēram, teptjari tatāru vidū); reliģisko atšķirību dēļ (etniski reliģiskās grupas, piemēram, latgalieši, vecticībnieki, jazīdi). etniskās uzvedības atšķirību dēļ (piemēram, etniskās valodas lietošanā ikdienas saziņā vai saziņā ar citu etnisko grupu pārstāvjiem).",1
"Tā tika likvidēta 2020. gada 1. janvārī, kad reģionālās reformas gaitā to apvienoja ar Hordalanni, izveidojot Vestlannes filki.","Filkē bija trīs pilsētas: Flūre, Ferde un Moleja. 2016. gadā Sognā un Fjūranē dzīvoja 109 tūkstoši cilvēku.",1
Gada sākumā notika kauja pie Dobes.,Gada sākumā notika kauja pie Jurbarkas.,1
"Izvietojusies valsts austrumos, aizņem Jaungvinejas salas Indonēzijas daļas centrālo daļu Maokes kalnos.",Provinces galvaspilsēta un lielākā apdzīvotā vieta ir Vamena.,1
"Savu karjeru sācis Buenosairesas ""Velez Sarsfield"" komandā. 2005. gadā pārcēlies uz Spānijas komandu Mallorca, kur spēlējis trīs gadus.",Argentīnas futbola izlases sastāvā piedalījies 2010. gada FIFA Pasaules kausā.,1
"Dibināta 1996. gadā, apvienojoties Igaunijas Nacionālās Neatkarības partijai (Eesti Rahvusliku Sõltumatuse Partei, ERSP) un partijai Isamaa (Rahvuslik Koonderakond ""Isamaa"").",Kopš 2007. gada Riigikogu vēlēšanām - valdošajā koalīcijā.,1
Rīgas Dabaspētnieku biedrības biedrs.,Mitteilungen der Geologischen Gesellschaft in Wien. 63.,1
Grujārs 1984. gadā kļuva par Francijas Formula 3 čempionu un nākamos četrus gadus piedalījās Formula 3000 sacensībās.,"Karjeras laikā francūzi kritizēja par vairākiem incidentiem, kas esot radušies viņa vainas dēļ. 1989. gada Beļģijas Grand Prix kvalifikācijā Grujārs nepalaida Nelsonu Pikē, kurš mēģinot apdzīt Grujāru, izslīdēja un nekvalificējās sacīkstei. 1990. gadā viņš divreiz traucēja Naidželam Menselam veikt lidojošo apli, bet 1991. gadā pēc dzinēja defekta viņš nolēma nevis nobraukt malā, bet turpināt braukt, visur izšļakstot eļļu.",1
"Viņš 2007. gadā kļuva par LBL čempionu Rīgas ""ASK"" sastāvā.","Savu profesionālo karjeru viņš uzsāka 2002. gadā, kad spēlēja Viļņas ""Sakalai"" sastāvā.",1
Pietura.,Lācis.,1
Tā nav administratīva vienība.,"Citi ekonomiski nozīmīgi reģioni ir Emīlija-Romanja (tās ekonomika uzrāda augstu izaugsmes tempu, pateicoties eksportam), Veneto, kas ir nozīmīgs ražošanas un infrastruktūras reģions, kā arī Trentīno-Alto Adidžē un Aostas ieleja, kas ir vadošie Itālijas reģioni pēc IKP uz iedzīvotāju.",1
"Izvietojusies pagasta dienvidrietumos Šķērveļa kreisajā krastā 6,5 km no pagasta centra Dzeldas, 61 km no novada centra Kuldīgas un 172 km no Rīgas.",Šķērveļa krastā pie Rogām atrodas valsts nozīmes arheoloģijas piemineklis Upenieku pilskalns.,1
"Eiropas standartizācijas komisijas standarts EN 62262, vai internacionālais standarts IEC 62262 (2002) ar IK koda palīdzību definē iekārtas aizsardzību pret mehāniskiem triecieniem.","Standarts stājās spēkā 1995. gada oktobrī, ar pārejas laiku līdz 1997. gada aprīlim.",1
"Laikus jāatklāj bojājumu rašanās cēloņi gan ceļā kopumā, gan atsevišķos ceļa elementos.",Vertikalais pakapiens pec sliezu nomainas 2mm.jpg Vertikālais sliežu pakāpiens 2 mm pēc sliežu nomaiņas Tihomirov V.I.,1
"Psihiskās atspoguļošanas forma, kurā īstenības tēls un subjektīvā attieksme pret šo tēlu nav īpašas refleksijas objekts.","Sečenovs, I.",1
Izvietojusies Svalbāras arhipelāga lielākās salas Špicbergenas ziemeļrietumos Nīolesunnas pētniecības pilsētiņā.,"Galvenie pētījumu virzieni bioloģija (galvenokārt baltvaigu zoss un polārlāču monitorings), kā arī klimata izmaiņas un glacioloģija.",1
"Pēc 1207. gada Līvzemes dalīšanas līguma nosacījumiem agrākie Turaidas, Sateseles un Metsepoles līvu kungi zaudēja patstāvību un kļuva par bīskapa Alberta un Zobenbrāļu ordeņa vasaļiem.","Mūsdienās bijušā arhibīskapijas Līvu gala teritorijā atrodas Limbažu, Siguldas (daļēji), Cēsu (daļēji), Valmieras (daļēji), Saulkrastu un Ādažu novadi.",1
"Atšķirībā no mežsaimniecības, kurā tiek kompleksi apkopts viss mežs, kokkopība vairāk nodarbojas ar atsevišķu koku, krūmu un dzīvžogu apkopi.",Radīt saules gaismas piekļuvi visām lapām.,1
Vairākas divīzijas var apvienot korpusā.,"Karaspēka dalījums divīzijās radās, karotājvalstīm palielinot karaspēka lielumu.",1
Atrodas 655 metrus v.j.l.,Q62023493.,1
"Kurzemes ziemeļdaļā atradās Piltenes apgabals, kurš nebija pakļauts Kurzemes hercogistei.","Kurzemes hercogs Vilhelms Kabili kā ķīlu lēni nodeva Jaunpils īpašniekam un Kurzemes landhofmeistaram Matiasam Dītriham fon der Rekem, īpaši minot, ka to var mantot jebkurš viņa un sievas Annas fon Ketleres pēcnācējs arī vēlākās paaudzēs.",1
"Ziemeļos tā robežojas ar Arkādijas nomi, bet rietumos ar Mesēnijas nomi.","Lakonijas nome iekļauj sevī Lakonijas vēsturisko apgabalu, kur atradās tādi nozīmīgi senās Grieķijas kultūras centri, kā Sparta, Amikla, Gitija u.c., bet Bizantijas laikā Mistra un Monemvasija.",1
Saknes iekšējā uzbūve ir līdzīga stumbra uzbūvei.,"Piemēram, ja ābeli aplej un apmēslo tieši ap stumbru, liela labuma no šādas mēslošanas nav, jo saknes uzsūkšanas josla atrodas tuvu sakņu galam.",1
Izvietojies starp Bonaparta un Norsela zemesragiem.,"Līča piekrastē tagadējā Amsleru salā no 1955. līdz 1958. gadam darbojās britu polārstacija Bāze N. 1964. gadā tai līdzās tika izbūvēta ASV Pālmeras pagaidu stacija, bet 1968. gadā Gemedža ragā — tagadējā Pālmeras stacija.",1
"Pēc Oktobra revolūcijas 1918. gadā to pārveidoja par Sarkanās armijas Maskavas kara apgabalu, pēc Otrā pasaules kara par PSRS Bruņoto spēku Maskavas kara apgabalu.","Pirms apgabala likvidēšanas 2010. gadā tajā bija izvietotas šādas vienības: 4. gvardes tanku brigāde (4-я гвардейская танковая бригада) 6. tanku brigāde (6-я танковая бригада) 5. gvardes motorizētā strēlnieku brigāde (5-я гвардейская мотострелковая бригада) 9. motorizētā strēlnieku brigāde (9-я мотострелковая бригада) 27. gvardes motorizētā strēlnieku brigāde (27-я гвардейская мотострелковая бригада) 16. gvardes speciālā brigāde (16-я гвардейская бригада специального назначения) 45. artilērijas brigāde (45-я артиллерийская бригада) 79. artilērijas brigāde (79-я артиллерийская бригада) 288. artilērijas brigāde (288-я артиллерийская бригада) 53. pretgaisa raķešu brigāde (53-я зенитная ракетная бригада), 112. raķešu brigāde (112-я ракетная бригада) 448. raķešu brigāde (448-я ракетная бригада) 98. gvardes gaisa desanta divīzija (98-я гвардейская воздушно-десантная дивизия) 106. gvardes gaisa desanta divīzija (106-я гвардейская воздушно-десантная дивизия) No 2010. līdz 2024. gadam Maskavas kara apgabals bija likvidēts, tā teritorijā bija izveidots Rietumu kara apgabals (daļēji) ar štābu Pēterburgā. 2024. gadā no jauna izveidoja Maskavas kara apgabalu.",1
"Piedalījusies trijās ziemas olimpiskajās spēlēs (2006, 2010, 2014). 2010. gadā Vankūverā kļuva par čempioni mogula distancē, pēc četriem gadiem Sočos mogulā izcīnīja bronzu.","Divas reizes izcīnījusi uzvaru Pasaules kausa kopvērtējumā (2011, 2012), četras reizes — mogula kopvērtējumā (2009, 2011, 2012, 2013).",1
