sentence1,sentence2,label
"Īscaurules ar vienu nenoslēgtu galu tiek izmantotas dažādās tvertnēs gāzes, tvaika vai šķidruma izvadīšanai vai iesūkšanai.","Atkarībā no savienošanas veida īscaurulei galā var būt atloks, vītne vai platgals.",0
"Vēlāk šis termins tika lietots, lai apzīmētu reformu rezultātā izveidoto jauno pastāvīgo karaspēku.","Abu armiju veselības stāvokļa salīdzinājumam aprakstīts gadījums, kad karaspēki pavadījuši trīs dienas laukā, 160 krievu nomiruši, bet turki nebija zaudējuši nevienu karavīru.",0
Tā darbojas kopš 2001.gada 11. maija un ir viena no pirmajām Vikipēdijām., Pilnīgākajiem un kvalitatīvākajiem rakstiem tiek piešķirts vērtīga vai laba raksta statuss.,0
Senajos laikos asīrieši dzīvoja teritorijā no Nīlas upes līdz Mezopotāmijai.,Ģeogrāfijas vārdnīca Pasaules zemes un tautas.,0
"Pašlaik (2012) pārstāv Ņūmeksikas universitātes komandu ""Lobos"" NCAA turnīrā.",Austrālijas jaunatnes izlašu sastāvā izcīnījis 4. vietu 2009. gada un 6. vietu 2011. gada Pasaules U-19 čempionātā. 2011. gada U-19 čempionātā viņš tika iekļauts simboliskajā izlasē.,0
"Kurzemes, Zemgales un Sēlijas vēsturiskās zemes atradās Krievijas Impērijas Kurzemes guberņas sastāvā, saglabājot savu autonomiju, statūtus, landtāgu un tiesu.","Latgales vēsturiskā zeme atradās Vitebskas guberņas Daugavpils, Ludzas un Rēzeknes apriņķu sastāvā.",0
Šis ozols savvaļā aug Ziemeļamerikas austrumdaļā.,"Samtainie ozoli viegli krustojas ar citiem Lobatae grupas ozoliem, veidojot hibrīdus.",0
"Tā ir apdraudēta suga, kas apdzīvo ierobežotu teritoriju un ir uzņēmīga pret vides maiņu.",Mūsdienās visā salā ir aizliegts medīt augļēdājsikspārņus.,0
"Savu karjeru sācis FK Partizan komandā, kur četras reizes kļuvis par Dienvidslāvijas čempionu.",Piedalījies arī 1960. gada Eiropas čempionātā un 1962. gada FIFA Pasaules kausā.,0
Norvēģijas karaļa Magnusa II dēls.,"Pēc Olafa III nāves Tronheimā par karali atzina Hākonu, bet Vikā - Magnusu III.",0
